"","iso3c","year","count"
"5954","BOL","2005",1
"5984","POL","2005",1
"6039","IRQ","2006",85
"6045","GBR","2006",10
"6047","USA","2006",111
"6050","SDN","2006",59
"6052","CHL","2006",12
"6054","SRB","2006",44
"6055","RUS","2006",8
"6064","AUT","2006",2
"6066","JPN","2006",7
"6069","NPL","2006",2
"6071","RWA","2006",9
"6073","CHN","2006",11
"6076","ETH","2006",2
"6078","GTM","2006",2
"6079","SAU","2006",1
"6086","ISR","2006",8
"6087","LBR","2006",16
"6098","MEX","2006",5
"6099","BEL","2006",2
"6100","SVU","2006",1
"6102","SVN","2006",1
"6104","LKA","2006",5
"6107","COD","2006",9
"6111","IND","2006",2
"6117","TUR","2006",11
"6118","BIH","2006",9
"6120","TCD","2006",3
"6121","EGY","2006",2
"6122","DEU","2006",1
"6124","VNM","2006",1
"6125","UGA","2006",5
"6129","LBN","2006",2
"6148","KOR","2006",3
"6153","NLD","2006",4
"6161","FRA","2006",6
"6168","MMR","2006",1
"6170","IDN","2006",1
"6171","ARG","2006",6
"6179","HUN","2006",1
"6181","PAK","2006",1
"6205","KHM","2006",10
"6216","URY","2006",1
"6229","MKD","2006",3
"6230","PHL","2006",1
"6243","IRN","2006",4
"6245","AFG","2006",6
"6248","GEO","2006",1
"6259","ZWE","2006",1
"6260","ROU","2006",1
"6269","CHE","2006",2
"6286","HTI","2006",2
"6293","SEN","2006",1
"6300","DZA","2006",2
"6320","POL","2006",1
"6340","ARM","2006",2
"6355","COL","2006",1
"6360","BLR","2006",2
"6366","VEN","2006",1
"6386","CUB","2006",1
"6420","SLE","2006",2
"6429","NGA","2006",3
"6482","OMN","2006",1
"6532","UZB","2006",2
"6546","LBY","2006",1
"6565","PER","2006",2
"6569","THA","2006",1
"6575","CHN","2007",7
"6576","PER","2007",8
"6577","UZB","2007",2
"6578","EGY","2007",8
"6579","LBY","2007",1
"6580","USA","2007",45
"6581","BRA","2007",2
"6588","SDN","2007",28
"6589","BEL","2007",1
"6590","KHM","2007",10
"6591","COL","2007",6
"6592","PHL","2007",2
"6598","SRB","2007",13
"6600","MMR","2007",4
"6601","RUS","2007",3
"6602","CAN","2007",3
"6605","JPN","2007",8
"6606","TUR","2007",12
"6613","ARG","2007",2
"6614","ESP","2007",3
"6617","GRC","2007",1
"6618","GTM","2007",2
"6619","DMA","2007",1
"6621","IRN","2007",7
"6628","IRQ","2007",28
"6629","ETH","2007",4
"6630","ISR","2007",5
"6633","EST","2007",1
"6634","KAZ","2007",1
"6638","SOM","2007",2
"6639","MLI","2007",3
"6643","AFG","2007",7
"6651","SLE","2007",2
"6653","LBR","2007",5
"6658","NLD","2007",5
"6663","MYS","2007",1
"6665","VNM","2007",1
"6672","LKA","2007",5
"6682","RWA","2007",3
"6684","SEN","2007",1
"6702","NOR","2007",1
"6713","BIH","2007",5
"6716","ARM","2007",3
"6722","IND","2007",2
"6723","BGD","2007",1
"6730","DZA","2007",1
"6739","KOR","2007",1
"6740","MKD","2007",2
"6747","SLV","2007",1
"6752","ZWE","2007",1
"6756","GBR","2007",2
"6793","GMB","2007",1
"6799","FRA","2007",2
"6811","SAU","2007",1
"6814","VEN","2007",1
"6817","COD","2007",1
"6838","PAK","2007",1
"6861","IRN","2008",8
"6862","SDN","2008",18
"6864","USA","2008",50
"6866","RWA","2008",3
"6867","ISR","2008",4
"6869","AFG","2008",4
"6870","COD","2008",5
"6874","SWE","2008",1
"6875","GBR","2008",2
"6876","CHN","2008",17
"6880","COL","2008",6
"6881","ESP","2008",5
"6882","GEO","2008",3
"6888","SLV","2008",1
"6889","SAU","2008",1
"6891","GIN","2008",1
"6893","ZWE","2008",9
"6894","LBR","2008",2
"6899","NLD","2008",5
"6900","RUS","2008",5
"6902","KOR","2008",2
"6904","ETH","2008",3
"6907","VEN","2008",3
"6910","SRB","2008",10
"6918","IND","2008",1
"6940","ARG","2008",3
"6946","HRV","2008",2
"6959","MEX","2008",5
"6960","MNE","2008",1
"6963","CAN","2008",3
"6964","SYR","2008",1
"6967","FRA","2008",2
"6973","TUR","2008",2
"6994","UZB","2008",1
"7005","KHM","2008",1
"7008","SOM","2008",1
"7009","IRQ","2008",3
"7012","THA","2008",1
"7015","JAM","2008",2
"7033","IDN","2008",1
"7037","UGA","2008",1
"7040","KEN","2008",3
"7047","PAK","2008",2
"7060","LBN","2008",1
"7068","LKA","2008",1
"7069","LBY","2008",1
"7070","THA","2009",4
"7071","AFG","2009",3
"7072","CHN","2009",14
"7073","USA","2009",60
"7074","GIN","2009",1
"7075","LBR","2009",5
"7076","UGA","2009",1
"7079","COD","2009",4
"7080","PHL","2009",2
"7081","ARG","2009",1
"7082","BRA","2009",1
"7083","MEX","2009",4
"7085","LKA","2009",10
"7087","GTM","2009",2
"7089","PAK","2009",3
"7094","KHM","2009",12
"7100","IRN","2009",14
"7103","DEU","2009",2
"7104","RWA","2009",4
"7106","GBR","2009",1
"7107","IRQ","2009",2
"7109","NLD","2009",4
"7110","KEN","2009",1
"7111","ITA","2009",1
"7114","SRB","2009",9
"7116","RUS","2009",19
"7119","BIH","2009",2
"7121","UZB","2009",1
"7126","SDN","2009",17
"7131","ISR","2009",18
"7135","ZWE","2009",7
"7143","HND","2009",3
"7157","COL","2009",1
"7163","MAR","2009",1
"7171","MMR","2009",5
"7181","SAU","2009",2
"7188","IDN","2009",1
"7205","ESP","2009",4
"7213","KOR","2009",1
"7219","IND","2009",1
"7230","GMB","2009",1
"7240","ARE","2009",1
"7251","BHR","2009",1
"7253","PER","2009",3
"7274","AUT","2009",1
"7277","LBY","2009",1
"7287","SYR","2009",1
"7289","TCD","2009",1
"7326","ZAF","2009",1
"7330","OMN","2009",1
"7332","PAK","2010",2
"7333","SDN","2010",8
"7334","USA","2010",32
"7335","BRA","2010",3
"7337","KEN","2010",2
"7339","MYS","2010",3
"7341","ISR","2010",6
"7342","IDN","2010",4
"7343","MEX","2010",6
"7345","COD","2010",3
"7346","CHN","2010",10
"7347","GBR","2010",2
"7348","PHL","2010",3
"7349","IND","2010",1
"7351","ARG","2010",2
"7352","CHE","2010",1
"7353","RWA","2010",8
"7356","PNG","2010",1
"7358","MLI","2010",1
"7363","RUS","2010",11
"7368","THA","2010",2
"7371","NLD","2010",5
"7372","ETH","2010",3
"7376","IRN","2010",8
"7384","KHM","2010",5
"7385","FRA","2010",2
"7386","OMN","2010",2
"7396","AFG","2010",2
"7398","TUR","2010",2
"7402","HND","2010",2
"7405","CHL","2010",1
"7411","ZWE","2010",3
"7413","UZB","2010",2
"7415","CUB","2010",2
"7417","KOR","2010",2
"7420","LKA","2010",2
"7437","UGA","2010",2
"7445","EGY","2010",1
"7451","ZMB","2010",1
"7452","IRQ","2010",4
"7458","GTM","2010",1
"7461","ESP","2010",2
"7462","SRB","2010",3
"7466","JPN","2010",1
"7473","DNK","2010",1
"7492","ZAF","2010",1
"7495","GIN","2010",1
"7500","LBR","2010",1
"7505","ITA","2010",1
